Id,Label,Interval
345,Douluo Dalu Jingying Sai,8.17
346,Douluo Dalu Qian Hua Xi Jin,8.17
347,Dragon Ball Z,8.15
348,Fate Grand Carnival,8.15
349,Fullmetal Alchemist,8.16
350,Honzuki no Gekokujou Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.16
351,Kamisama Hajimemashita,8.16
352,Kanata no Astra,8.15
353,Seirei no Moribito,8.16
354,One Piece Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.15
355,Ginga Eiyuu Densetsu Gaiden,8.15
356,Initial D Fourth Stage,8.15
357,K-On,8.15
358,Kono Subarashii Sekai ni Shukufuku wo,8.15
359,Lupin III Cagliostro no Shiro,8.15
360,Mobile Suit Gundam Unicorn,8.15
361,Angel Beats,8.14
362,Baccano Specials,8.14
363,Chuunibyou demo Koi ga Shitai Movie Take On Me,8.15
364,Detective Conan Movie 14 The Lost Ship in the Sky,8.14
365,Detroit Metal City,8.14
366,Hyouka,8.14
367,IDOLiSH7 Second Beat,8.13
368,Karakai Jouzu no Takagi-san 2,8.14
369,Koukaku Kidoutai Stand Alone Complex - Solid State Society,8.14
370,Kuroko no Basket,8.14
371,Made in Abyss Movie 1 Tabidachi no Yoake,8.14
372,Mahoutsukai no Yome Hoshi Matsu Hito,8.14
373,Mobile Suit Gundam 00,8.14
374,Princess Tutu,8.14
375,Saiki Kusuo no -nan -shidou-hen,8.13
376,Shokugeki no Souma San no Sara,8.12
377,Skip Beat,8.12
378,Tsubasa Shunraiki,8.13
379,Tsukimonogatari,8.13
380,Uchouten Kazoku 2,8.13
381,Detective Conan Movie 05 Countdown to Heaven,8.13
382,Interstella5555 The 5tory of The 5ecret 5tar 5ystem,8.14
383,Kuragehime,8.13
384,Ansatsu Kyoushitsu,8.12
385,Diamond no Ace,8.12
386,Ginga Eiyuu Densetsu Arata Naru Tatakai no Overture,8.12
387,Initial D Second Stage,8.12
388,Kaze Tachinu,8.12
389,Kuroshitsuji Book of Circus,8.12
390,Tanoshii Muumin Ikka,8.13
391,Zankyou no Terror,8.12
392,Shijou Saikyou no Deshi Kenichi,8.1
393,Yowamushi Pedal Grande Road,8.11
394,Darker than Black Kuro no Keiyakusha,8.11
395,Gin no Saji,8.11
396,Gintama Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.11
397,Haikyuu Movie 4 Concept no Tatakai,8.11
398,Hajime no Ippo Boxer no Kobushi,8.1
399,JoJo no Kimyou na Bouken Part 3 Stardust Crusaders,8.11
400,Kuroshitsuji Book of Murder,8.11
401,Mobile Suit Gundam 00 Second Season,8.11
402,5-toubun no Hanayome ,8.12
403,Detective Conan Movie 08 Magician of the Silver Sky,8.1
404,Dorohedoro,8.1
405,Dragon Ball Super Movie Broly,8.1
406,Durararax2 Ketsu,8.1
407,Fate stay night Unlimited Blade Works Prologue,8.1
408,Gintama Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.1
409,Gosick,8.1
410,Hikaru no Go,8.1
411,Kill la Kill,8.1
412,Koukaku Kidoutai Stand Alone Complex - The Laughing Man,8.1
413,Kuroko no Basket Saikou no Present Desu,8.1
414,Omoide no Marnie,8.1
415,Saint Seiya The Lost Canvas - Meiou Shinwa 2,8.1
416,Tamayura Sotsugyou Shashin Part 4 - Ashita,8.1
417,Summer Wars,8.09
418,Tensei shitara Slime Datta Ken 2nd Season,8.13
419,World Trigger 2nd Season,8.09
420,Akatsuki no Yona OVA,8.09
421,Beastars 2nd Season,8.12
422,Boku no Hero Academia,8.08
423,Dennou Coil,8.09
424,Detective Conan Movie 18 The Sniper from Another Dimension,8.09
425,Ginga Eiyuu Densetsu Die Neue These - Seiran 2,8.09
426,Gintama Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.09
427,Haikyuu Movie 3 Sainou to Sense,8.08
428,Hidamari Sketch Sae Hiro Sotsugyou-hen,8.09
429,Kamisama Hajimemashita Kamisama Shiawase ni Naru,8.09
430,Koukyoushihen Eureka Seven,8.09
431,Mahoutsukai no Yome,8.09
432,Mirai Shounen Conan,8.09
433,Mobile Suit Gundam The Origin - Advent of the Red Comet,8.09
434,Boku no Hero Academia the Movie 2 Heroes Rising,8.07
435,Eve no Jikan,8.08
436,Glass no Kamen 2005,8.08
437,Initial D Fifth Stage,8.08
438,Promare,8.07
439,Tsumiki no Ie,8.07
440,xxxHOLiC Shunmuki,8.08
441,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku OVA,8.08
442,Yuusha-Ou GaoGaiGar Final,8.08
443,Saiunkoku Monogatari 2nd Season,8.07
444,Tensei shitara Slime Datta Ken,8.07
445,Detective Conan Movie 10 Requiem of the Detectives,8.07
446,Douluo Dalu Hao Tian Yang Wei,8.08
447,Evangelion 10 You Are Not Alone,8.07
448,Full Metal Panic Fumoffu,8.07
449,Ginga Eiyuu Densetsu Gaiden 1999,8.08
450,Gintama Dai Hanseikai,8.07
451,High Score Girl II,8.07
452,Kami nomi zo Shiru Sekai Megami-hen,8.07
453,Kara no Kyoukai 3 Tsuukaku Zanryuu,8.07
454,Kuroko no Basket Movie 4 Last Game,8.07
455,Kyou kara Ore wa,8.07
456,Nagi no Asu kara,8.07
457,Baby Steps 2nd Season,8.06
458,City Hunter 2,8.06
459,Clannad,8.06
460,Hachimitsu to Clover,8.06
461,Juuni Kokuki,8.06
462,Kono Subarashii Sekai ni Shukufuku wo 2 Kono Subarashii Geijutsu ni Shukufuku wo,8.06
463,LovelyComplex,8.06
464,Magi The Labyrinth of Magic,8.06
465,Paprika,8.06
466,Saint Seiya Meiou Hades Juuni Kyuu-hen,8.06
467,Shokugeki no Souma San no Sara - Tootsuki Ressha-hen,8.06
468,Stand By Me Doraemon,8.06
469,Toaru Kagaku no Railgun S,8.06
470,Umibe no tranger,8.04
471,Yahari Ore no Seishun Love Comedy wa Machigatteiru,8.06
472,Ramayana The Legend of Prince Rama,8.05
473,Tokyo Magnitude 80,8.05
474,Akatsuki no Yona,8.05
475,BanG Dream 3rd Season,8.05
476,Black Lagoon,8.05
477,Black Lagoon Robertas Blood Trail,8.05
478,Boku no Hero Academia 4th Season,8.05
479,DGray-man,8.05
480,Eve no Jikan Movie,8.05
481,High Score Girl Extra Stage,8.04
482,Kaichou wa Maid-sama,8.05
483,Detective Conan Movie 03 The Last Wizard of the Century,8.04
484,Detective Conan Movie 04 Captured in Her Eyes,8.04
485,ef A Tale of Melodies,8.04
486,Ginga Nagareboshi Gin,8.04
487,Girls Panzer Saishuushou Part 2,8.04
488,Kamisama Hajimemashita,8.04
489,Kodomo no Omocha TV,8.04
490,Sakasama no Patema,8.04
491,Slayers Next,8.04
492,Ookiku Furikabutte Natsu no Taikai-hen,8.03
493,Quanzhi Gaoshou 2,8.02
494,ReLIFE,8.03
495,School Rumble Ni Gakki,8.03
496,Serial Experiments Lain,8.04
497,Wolfs Rain OVA,8.03
498,Beastars,8.02
499,Code Geass Hangyaku no Lelouch III - Oudou,8.03
500,Detective Conan Movie 15 Quarter of Silence,8.03
501,FLCL,8.03
502,Fullmetal Alchemist Brotherhood Specials,8.03
503,Honzuki no Gekokujou Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.03
504,JoJo no Kimyou na Bouken TV,8.03
505,Kara no Kyoukai Mirai Fukuin,8.03
506,Kingdom,8.03
507,Kotonoha no Niwa,8.03
508,Maoujou de Oyasumi,8.03
509,Mobile Suit Gundam The 08th MS Team,8.03
510,Aria the OVA Arietta,8.02
511,Durararax2 Shou,8.02
512,Golden Boy,8.02
513,Kimi ni Todoke,8.01
514,Kobayashi-san Chi no Maid Dragon,8.02
515,Koukaku Kidoutai Stand Alone Complex 2nd GIG - Individual Eleven,8.02
516,Major Movie Yuujou no Winning Shot,8.02
517,Mobile Suit Gundam Iron-Blooded Orphans,8.02
518,Omae Umasou da na,8.02
519,Persona 3 the Movie 4 Winter of Rebirth,8.02
520,SK,8.02
521,Touch,8.02
522,Working,8.02
523,Osomatsu-san,8.01
524,Phantom Requiem for the Phantom,8.0
525,Tennis no Ouji-sama Zenkoku Taikai-hen - Final,8.01
526,xxxHOLiC,8.01
527,Aria the Origination Sono Choppiri Himitsu no Basho ni,8.01
528,Durararax2 Ten,8.01
529,Hanada Shounen-shi,8.01
530,Kakushigoto TV,8.01
531,Kimi ni Todoke 2nd Season,8.01
532,Koukaku Kidoutai 20,8.01
533,Akagami no Shirayuki-hime 2nd Season,8.0
534,Hibike Euphonium,8.0
535,Kanon 2006,8.0
536,Kokoro Connect Michi Random,8.0
537,Log Horizon,8.0
538,Noragami,8.0
539,One Piece Film Strong World Episode 0,8.0
540,Tate no Yuusha no Nariagari,8.0
541,Wu Shan Wu Xing,8.0
542,Youjo Senki,8.0
543,Yuuki Yuuna wa Yuusha de Aru Washio Sumi no Shou 3 - Yakusoku,8.01
544,Nurarihyon no Mago Sennen Makyou,7.99
545,Rurouni Kenshin Meiji Kenkaku Romantan - Seisou-hen,7.99
546,Saint Seiya The Lost Canvas - Meiou Shinwa,7.99
547,Tamako Love Story,7.99
548,Yowamushi Pedal,7.99
549,Yuukoku no Moriarty,7.99
550,Zetsuen no Tempest,7.98
551,Clannad Mou Hitotsu no Sekai Tomoyo-hen,7.99
552,Dragon Ball,7.99
553,Haibane Renmei,7.99
554,Hanamonogatari,7.99
555,Hokuto no Ken,7.98
556,Hyouge Mono,7.99
557,Mahou Shoujo Lyrical Nanoha As,7.99
558,Azumanga Daioh,7.97
559,Fate kaleid liner PrismaIllya Movie Sekka no Chikai,7.98
560,Hikaru no Go Hokuto Hai e no Michi,7.98
561,Kamisama Hajimemashita OVA,7.98
562,Kindaichi Shounen no Jikenbo,7.97
563,Kobato,7.98
564,Kurenai no Buta,7.98
565,Mawaru Penguindrum,7.98
566,Nekomonogatari Kuro,7.97
567,Tekkon Kinkreet,7.98
568,Usagi Drop Specials,7.98
569,Quanzhi Gaoshou,7.97
570,Trigun Badlands Rumble,7.97
571,Code Geass Fukkatsu no Lelouch,7.96
572,Ginga Eiyuu Densetsu Die Neue These - Seiran 1,7.97
573,Kimi to Boku 2,7.97
574,Macross F Movie 2 Sayonara no Tsubasa,7.97
575,Macross Do You Remember Love,7.97
576,Darker than Black Kuro no Keiyakusha Gaiden,7.96
577,Final Fantasy VII Advent Children Complete,7.96
578,Full Metal Panic The Second Raid,7.96
579,Full Moon wo Sagashite,7.96
580,Girls Panzer Saishuushou Part 1,7.96
581,Gochuumon wa Usagi Desu ka Bloom,7.96
582,IDOLiSH7 Vibrato,7.96
583,Kuuchuu Buranko,7.96
584,Sekaiichi Hatsukoi 2,7.95
585,Wotaku ni Koi wa Muzukashii,7.96
586,xxxHOLiC Movie Manatsu no Yoru no Yume,7.96
587,Non Non Biyori,7.95
588,Ore Monogatari,7.95
589,Overlord,7.95
590,Sekaiichi Hatsukoi OVA,7.94
591,SKET Dance Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.95
592,Tennis no Ouji-sama Zenkoku Taikai-hen,7.94
593,Tonikaku Kawaii,7.95
594,Yakitate Japan,7.95
595,Yuru Yuri SanHai,7.95
596,Carole Tuesday,7.94
597,ef A Tale of Memories,7.94
598,Eyeshield 21,7.95
599,Fate Grand Order Zettai Majuu Sensen Babylonia,7.95
600,Haikyuu Movie 2 Shousha to Haisha,7.95
601,Hanasaku Iroha,7.95
602,Higurashi no Naku Koro ni,7.94
603,Kokoro ga Sakebitagatterunda,7.95
604,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai Movie,7.94
605,Aria the Avvenire,7.94
606,Detective Conan OVA 09 The Stranger in 10 Years,7.94
607,Drifters,7.94
608,Gekkan Shoujo Nozaki-kun,7.94
609,Ginga Eiyuu Densetsu Waga Yuku wa Hoshi no Taikai,7.94
610,Ginga Sengoku Gunyuuden Rai,7.94
611,Haikyuu Movie 1 Owari to Hajimari,7.94
612,Hidamari Sketch x Honeycomb,7.94
613,Kaleido Star,7.94
614,Kami nomi zo Shiru Sekai II,7.94
615,Karigurashi no Arrietty,7.93
616,Love Live The School Idol Movie,7.94
617,One Piece Film Gold,7.94
618,Ookiku Furikabutte,7.94
619,Overlord III,7.94
620,Saiunkoku Monogatari,7.94
621,Sekaiichi Hatsukoi Movie Yokozawa Takafumi no Baai,7.94
622,Takarajima,7.94
623,Tennis no Ouji-sama Zenkoku Taikai-hen - Semifinal,7.94
624,Tiger Bunny,7.94
625,Touhai Densetsu Akagi Yami ni Maiorita Tensai,7.94
626,Ushio to Tora TV 2nd Season,7.94
627,Wan Sheng Jie,7.94
628,Yuri on Ice Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,7.95
629,Plastic Memories,7.93
630,Sakigake Cromartie Koukou,7.93
631,School Rumble,7.93
632,Shirokuma Cafe,7.93
633,City Hunter,7.93
634,Code Geass Hangyaku no Lelouch I - Koudou,7.93
635,Death Billiards,7.93
