233 - 139 : Hunter_x_Hunter__Greed_Island_Final
234 - 43 : Koukaku_Kidoutai
235 - 2402 : Ashita_no_Joe
236 - 42498 : Douluo_Dalu__Xiaowu_Juebie
237 - 3002 : Gyakkyou_Burai_Kaiji__Ultimate_Survivor
238 - 185 : Initial_D_First_Stage
239 - 39112 : Kawaki_wo_Ameku
240 - 16894 : Kuroko_no_Basket_2nd_Season
241 - 28171 : Shokugeki_no_Souma
242 - 5690 : Nodame_Cantabile__Finale
243 - 2966 : Ookami_to_Koushinryou
244 - 1033 : Sennen_Joyuu
245 - 23847 : Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku
246 - 37055 : Youjo_Senki_Movie
247 - 34798 : Yuru_Camp
248 - 11843 : Danshi_Koukousei_no_Nichijou
249 - 34036 : Detective_Conan__Episode_One_-_The_Great_Detective_Turned_Small
250 - 9735 : Gintama__Shinyaku_Benizakura-hen
251 - 18115 : Magi__The_Kingdom_of_Magic
252 - 627 : Major_S1
253 - 1842 : Major_S3
254 - 40852 : Dr_Stone__Stone_Wars
255 - 25537 : Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower
256 - 31812 : Kuroshitsuji_Movie__Book_of_the_Atlantic
257 - 23327 : SpaceDandy_2nd_Season
258 - 32188 : Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero
259 - 9863 : SKET_Dance
260 - 38481 : Toaru_Kagaku_no_Railgun_T
261 - 10271 : Gyakkyou_Burai_Kaiji__Hakairoku-hen
262 - 1142 : Hachimitsu_to_Clover_II
263 - 558 : Major_S2
264 - 22507 : Initial_D_Final_Stage
265 - 15227 : Kono_Sekai_no_Katasumi_ni
266 - 3226 : Major_S4
267 - 3091 : xxxHOLiC_Kei
268 - 36990 : Non_Non_Biyori_Movie__Vacation
269 - 35466 : ReLIFE__Kanketsu-hen
270 - 6 : Trigun
271 - 40784 : Wu_Liuqi_Zhi_Zui_Qiang_Fa_Xing_Shi
272 - 34537 : Yoru_wa_Mijikashi_Arukeyo_Otome
273 - 7674 : Bakuman
274 - 36456 : Boku_no_Hero_Academia_3rd_Season
275 - 10800 : Chihayafuru
276 - 5460 : Detective_Conan_Movie_13__The_Raven_Chaser
277 - 38731 : Diamond_no_Ace__Act_II
278 - 265 : Hajime_no_Ippo__Mashiba_vs_Kimura
279 - 18195 : Little_Busters__Refrain
280 - 11977 : Mahou_Shoujo_MadokaMagica_Movie_1__Hajimari_no_Monogatari
281 - 512 : Majo_no_Takkyuubin
282 - 585 : Mimi_wo_Sumaseba
283 - 33051 : Mobile_Suit_Gundam__Iron-Blooded_Orphans_2nd_Season
284 - 372 : Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card
